"","sex","age","suicides.100k.pop"
"4087","male","5-14 years",0
"4088","male","75+ years",0
"4473","male","75+ years",19.02
"4474","male","55-74 years",11.43
"4475","male","25-34 years",10.76
"4476","male","35-54 years",10.55
"4477","male","15-24 years",7.27
"4478","female","35-54 years",3.21
"4479","female","55-74 years",2.69
"4480","female","75+ years",2.69
"4481","female","25-34 years",2.37
"4482","female","15-24 years",2.13
"4483","male","5-14 years",0.32
"4484","female","5-14 years",0.29
"4845","male","75+ years",61.01
"4846","male","55-74 years",27.16
"4847","male","35-54 years",19.09
"4848","female","75+ years",16.36
"4849","male","25-34 years",10.06
"4850","female","55-74 years",7.56
"4851","male","15-24 years",7.49
"4852","female","35-54 years",5.37
"4853","female","25-34 years",2.05
"4854","female","15-24 years",1.8
"4855","male","5-14 years",0.3
"4856","female","5-14 years",0
"5217","male","35-54 years",25.39
"5218","male","75+ years",21.79
"5219","male","55-74 years",20.7
"5220","male","25-34 years",17.28
"5221","male","15-24 years",15.73
"5222","female","35-54 years",7.97
"5223","female","55-74 years",6.75
"5224","female","25-34 years",6.59
"5225","female","15-24 years",5.13
"5226","female","75+ years",3.64
"5227","male","5-14 years",0.99
"5228","female","5-14 years",0.71
"5565","male","75+ years",40.59
"5566","male","35-54 years",26.05
"5567","male","25-34 years",23.8
"5568","male","55-74 years",23.48
"5569","male","15-24 years",21.83
"5570","female","15-24 years",6.47
"5571","female","35-54 years",6.39
"5572","female","25-34 years",6.2
"5573","female","55-74 years",3.44
"5574","female","75+ years",2.47
"5575","male","5-14 years",1.37
"5576","female","5-14 years",0.79
"5937","male","75+ years",15.54
"5938","male","25-34 years",11.54
"5939","male","15-24 years",11.23
"5940","male","55-74 years",9.63
"5941","male","35-54 years",8.2
"5942","female","15-24 years",4.5
"5943","female","25-34 years",2.03
"5944","female","35-54 years",1.19
"5945","male","5-14 years",0.98
"5946","female","5-14 years",0.97
"5947","female","75+ years",0.84
"5948","female","55-74 years",0.59
"6309","male","25-34 years",19.92
"6310","male","35-54 years",18.24
"6311","male","55-74 years",13.09
"6312","male","75+ years",12.09
"6313","male","15-24 years",9.52
"6314","female","25-34 years",3.29
"6315","female","35-54 years",2.7
"6316","female","15-24 years",2.47
"6317","female","55-74 years",1.74
"6318","male","5-14 years",1.29
"6319","female","5-14 years",0
"6320","female","75+ years",0
"6549","male","75+ years",86.69
"6550","male","55-74 years",46.55
"6551","male","35-54 years",29.9
"6552","female","75+ years",20.75
"6553","male","15-24 years",14.66
"6554","male","25-34 years",13.9
"6555","female","55-74 years",13.84
"6556","female","35-54 years",7.97
"6557","female","15-24 years",4.97
"6558","female","25-34 years",2.29
"6559","female","5-14 years",0.45
"6560","male","5-14 years",0
"6847","male","75+ years",78.23
"6848","male","55-74 years",38.45
"6849","male","35-54 years",25.05
"6850","male","25-34 years",14.36
"6851","female","55-74 years",14.12
"6852","female","75+ years",11.75
"6853","male","15-24 years",8.2
"6854","female","35-54 years",5.54
"6855","female","25-34 years",2.47
"6856","female","15-24 years",2.33
"6857","female","5-14 years",1.06
"6858","male","5-14 years",0.57
"7015","male","75+ years",15.25
"7016","male","25-34 years",10.75
"7017","male","55-74 years",9.26
"7018","male","35-54 years",8.39
"7019","male","15-24 years",5.96
"7020","female","15-24 years",4.65
"7021","female","35-54 years",3.36
"7022","female","55-74 years",1.26
"7023","female","25-34 years",0
"7024","female","5-14 years",0
"7025","female","75+ years",0
"7026","male","5-14 years",0
"7337","male","75+ years",47.28
"7338","male","55-74 years",35.13
"7339","male","35-54 years",31.55
"7340","male","25-34 years",19.57
"7341","male","15-24 years",14.12
"7342","female","75+ years",8.82
"7343","female","55-74 years",6.52
"7344","female","35-54 years",6.02
"7345","female","25-34 years",3.23
"7346","female","15-24 years",3.17
"7347","male","5-14 years",0.21
"7348","female","5-14 years",0
"7611","male","75+ years",39.81
"7612","male","55-74 years",23.16
"7613","male","35-54 years",17.94
"7614","male","25-34 years",13.04
"7615","female","75+ years",9.31
"7616","female","55-74 years",8.82
"7617","female","35-54 years",8.24
"7618","male","15-24 years",4.87
"7619","female","15-24 years",3
"7620","female","25-34 years",1.83
"7621","female","5-14 years",0
"7622","male","5-14 years",0
"7995","male","15-24 years",14.9
"7996","male","25-34 years",14.47
"7997","male","35-54 years",10.07
"7998","male","55-74 years",9.53
"7999","male","75+ years",8.73
"8000","female","15-24 years",8.1
"8001","female","25-34 years",5.11
"8002","female","75+ years",2.99
"8003","female","55-74 years",2.35
"8004","female","35-54 years",2.33
"8005","male","5-14 years",1.69
"8006","female","5-14 years",1.22
"8295","male","25-34 years",23.24
"8296","male","55-74 years",15.3
"8297","male","75+ years",14.89
"8298","male","15-24 years",13.58
"8299","male","35-54 years",13.03
"8300","female","15-24 years",7.08
"8301","female","25-34 years",3.91
"8302","female","35-54 years",2.8
"8303","female","75+ years",2.08
"8304","female","5-14 years",1.06
"8305","female","55-74 years",0.8
"8306","male","5-14 years",0.15
"8535","male","75+ years",62.6
"8536","male","55-74 years",44.83
"8537","male","35-54 years",34
"8538","male","25-34 years",29.1
"8539","male","15-24 years",21.96
"8540","female","75+ years",15.86
"8541","female","55-74 years",8.12
"8542","female","25-34 years",5.47
"8543","female","35-54 years",4.8
"8544","female","15-24 years",2.33
"8545","female","5-14 years",0
"8546","male","5-14 years",0
"9015","male","25-34 years",33.88
"9016","male","75+ years",33.78
"9017","male","35-54 years",33.51
"9018","male","55-74 years",32.43
"9019","male","15-24 years",31.18
"9020","female","25-34 years",11.12
"9021","female","35-54 years",10.98
"9022","female","55-74 years",10.41
"9023","female","15-24 years",9.3
"9024","female","75+ years",8.29
"9025","male","5-14 years",0.33
"9026","female","5-14 years",0
"9387","male","75+ years",65.04
"9388","male","35-54 years",36.6
"9389","male","55-74 years",31.61
"9390","male","25-34 years",21.02
"9391","female","75+ years",13.11
"9392","female","55-74 years",13.1
"9393","female","35-54 years",12.29
"9394","male","15-24 years",9.78
"9395","female","25-34 years",4.53
"9396","female","15-24 years",3.06
"9397","male","5-14 years",0.58
"9398","female","5-14 years",0.45
"9639","male","55-74 years",9.13
"9640","male","75+ years",7.22
"9641","male","35-54 years",4.91
"9642","male","25-34 years",4.74
"9643","male","15-24 years",3.13
"9644","female","75+ years",2.76
"9645","female","55-74 years",1.29
"9646","female","35-54 years",0.76
"9647","male","5-14 years",0.39
"9648","female","15-24 years",0
"9649","female","25-34 years",0
"9650","female","5-14 years",0
"9951","male","75+ years",46.56
"9952","male","55-74 years",25.22
"9953","male","35-54 years",20.46
"9954","male","25-34 years",14.88
"9955","female","75+ years",12.59
"9956","male","15-24 years",10.08
"9957","female","55-74 years",8.49
"9958","female","35-54 years",6.54
"9959","female","25-34 years",3.68
"9960","female","15-24 years",2.94
"9961","male","5-14 years",0.57
"9962","female","5-14 years",0.16
"10323","male","75+ years",12.14
"10324","male","35-54 years",7.59
"10325","male","55-74 years",7.3
"10326","male","25-34 years",6.27
"10327","male","15-24 years",2.45
"10328","female","75+ years",1
"10329","female","35-54 years",0.84
"10330","female","55-74 years",0.84
"10331","female","25-34 years",0.77
"10332","female","15-24 years",0.7
"10333","female","5-14 years",0
"10334","male","5-14 years",0
"10623","female","15-24 years",0
"10624","female","25-34 years",0
"10625","female","35-54 years",0
"10626","female","5-14 years",0
"10627","female","55-74 years",0
"10628","female","75+ years",0
"10629","male","15-24 years",0
"10630","male","25-34 years",0
"10631","male","35-54 years",0
"10632","male","5-14 years",0
"10633","male","55-74 years",0
"10634","male","75+ years",0
"10993","male","25-34 years",7.08
"10994","male","35-54 years",6.53
"10995","male","15-24 years",5.9
"10996","male","55-74 years",4.97
"10997","male","75+ years",4.44
"10998","female","15-24 years",2.82
"10999","female","25-34 years",1.83
"11000","female","35-54 years",0.63
"11001","female","55-74 years",0.55
"11002","female","5-14 years",0.37
"11003","male","5-14 years",0.31
"11004","female","75+ years",0
"11317","male","75+ years",102.35
"11318","male","35-54 years",89.74
"11319","male","25-34 years",56.07
"11320","male","15-24 years",39.56
"11321","male","55-74 years",36.66
"11322","female","15-24 years",30.63
"11323","female","25-34 years",19.39
"11324","female","55-74 years",11.02
"11325","female","35-54 years",9.28
"11326","female","5-14 years",6.06
"11327","male","5-14 years",2.31
"11328","female","75+ years",0
"11593","male","75+ years",101.57
"11594","male","55-74 years",68.23
"11595","male","35-54 years",55.88
"11596","male","25-34 years",24.33
"11597","female","75+ years",21.84
"11598","female","55-74 years",16.23
"11599","female","35-54 years",12.26
"11600","male","15-24 years",12.13
"11601","female","25-34 years",4.94
"11602","female","15-24 years",3.29
"11603","male","5-14 years",0.4
"11604","female","5-14 years",0.21
"11975","male","75+ years",37.83
"11976","male","25-34 years",33.88
"11977","male","55-74 years",25.95
"11978","male","35-54 years",25.24
"11979","male","15-24 years",25.1
"11980","female","35-54 years",11.76
"11981","female","55-74 years",11.15
"11982","male","5-14 years",4.56
"11983","female","25-34 years",4.43
"11984","female","15-24 years",4.37
"11985","female","5-14 years",0
"11986","female","75+ years",0
"12357","male","35-54 years",25.75
"12358","male","15-24 years",22.19
"12359","male","25-34 years",19.18
"12360","male","55-74 years",17.01
"12361","male","75+ years",10.27
"12362","female","55-74 years",6.33
"12363","female","35-54 years",5.95
"12364","female","25-34 years",4.78
"12365","female","15-24 years",3.71
"12366","female","75+ years",3.12
"12367","female","5-14 years",1.03
"12368","male","5-14 years",0.98
"12717","male","75+ years",27.48
"12718","male","55-74 years",18.03
"12719","male","35-54 years",13.92
"12720","male","25-34 years",13.72
"12721","male","15-24 years",10.49
"12722","female","75+ years",4.22
"12723","female","55-74 years",3.79
"12724","female","35-54 years",3.74
"12725","female","15-24 years",1.73
"12726","female","25-34 years",1.61
"12727","female","5-14 years",0.45
"12728","male","5-14 years",0.29
"13089","male","75+ years",25.75
"13090","male","55-74 years",14.54
"13091","male","35-54 years",11.88
"13092","male","25-34 years",8.88
"13093","male","15-24 years",4.62
"13094","female","75+ years",4.26
"13095","female","55-74 years",4.11
"13096","female","35-54 years",3.13
"13097","female","25-34 years",2.17
"13098","female","15-24 years",1.05
"13099","male","5-14 years",0.34
"13100","female","5-14 years",0.04
"13341","male","25-34 years",0.49
"13342","male","5-14 years",0.37
"13343","male","35-54 years",0.3
"13344","female","15-24 years",0
"13345","female","25-34 years",0
"13346","female","35-54 years",0
"13347","female","5-14 years",0
"13348","female","55-74 years",0
"13349","female","75+ years",0
"13350","male","15-24 years",0
"13351","male","55-74 years",0
"13352","male","75+ years",0
"13665","male","55-74 years",45.52
"13666","male","35-54 years",42.91
"13667","male","75+ years",40.93
"13668","male","25-34 years",32.51
"13669","male","15-24 years",20.79
"13670","female","75+ years",19.15
"13671","female","55-74 years",16.43
"13672","female","35-54 years",14.33
"13673","female","25-34 years",13.36
"13674","female","15-24 years",8.45
"13675","male","5-14 years",0.72
"13676","female","5-14 years",0.38
"13977","male","75+ years",63.5
"13978","male","25-34 years",61.67
"13979","male","35-54 years",54.87
"13980","male","55-74 years",48
"13981","male","15-24 years",33.94
"13982","female","75+ years",14.8
"13983","female","15-24 years",12.45
"13984","female","25-34 years",10.51
"13985","female","55-74 years",7.69
"13986","female","35-54 years",7.18
"13987","male","5-14 years",4.04
"13988","female","5-14 years",2.16
"14421","male","55-74 years",2.47
"14422","female","25-34 years",2.27
"14423","male","25-34 years",2.1
"14424","male","35-54 years",1.18
"14425","female","15-24 years",0.86
"14426","female","35-54 years",0.77
"14427","male","15-24 years",0.39
"14428","female","5-14 years",0
"14429","female","55-74 years",0
"14430","female","75+ years",0
"14431","male","5-14 years",0
"14432","male","75+ years",0
"14721","male","25-34 years",28.37
"14722","male","75+ years",27.16
"14723","male","35-54 years",21.94
"14724","male","55-74 years",20.05
"14725","male","15-24 years",14.4
"14726","female","75+ years",9.34
"14727","female","15-24 years",6.8
"14728","female","55-74 years",4.57
"14729","female","35-54 years",4.25
"14730","female","25-34 years",4.01
"14731","male","5-14 years",1.52
"14732","female","5-14 years",0.79
"14973","male","75+ years",57.25
"14974","male","55-74 years",56.13
"14975","male","35-54 years",53.92
"14976","male","25-34 years",40.6
"14977","male","15-24 years",23.06
"14978","female","55-74 years",10.31
"14979","female","75+ years",8.31
"14980","female","35-54 years",5.52
"14981","female","15-24 years",2.83
"14982","female","25-34 years",1.41
"14983","female","5-14 years",0
"14984","male","5-14 years",0
"15225","male","55-74 years",83.3
"15226","male","35-54 years",82.95
"15227","male","75+ years",67.61
"15228","male","25-34 years",55.55
"15229","male","15-24 years",40.82
"15230","female","75+ years",23.35
"15231","female","35-54 years",15.27
"15232","female","55-74 years",13.14
"15233","female","15-24 years",6.39
"15234","female","25-34 years",5.59
"15235","female","5-14 years",0.65
"15236","male","5-14 years",0.62
"15607","male","75+ years",56.14
"15608","male","35-54 years",29.82
"15609","male","55-74 years",10.93
"15610","male","15-24 years",9.75
"15611","male","25-34 years",8.21
"15612","female","35-54 years",6.41
"15613","female","55-74 years",6.41
"15614","female","25-34 years",5.54
"15615","female","75+ years",4.75
"15616","male","5-14 years",3.2
"15617","female","15-24 years",0
"15618","female","5-14 years",0
"15787","male","15-24 years",1.99
"15788","female","15-24 years",0
"15789","female","25-34 years",0
"15790","female","35-54 years",0
"15791","female","5-14 years",0
"15792","female","55-74 years",0
"15793","female","75+ years",0
"15794","male","25-34 years",0
"15795","male","35-54 years",0
"15796","male","5-14 years",0
"15797","male","55-74 years",0
"15798","male","75+ years",0
"16111","male","35-54 years",30.13
"16112","male","75+ years",19.58
"16113","male","15-24 years",10.27
"16114","male","25-34 years",9.54
"16115","male","55-74 years",8.56
"16116","female","55-74 years",4.03
"16117","female","15-24 years",0
"16118","female","25-34 years",0
"16119","female","35-54 years",0
"16120","female","5-14 years",0
"16121","female","75+ years",0
"16122","male","5-14 years",0
"16483","male","75+ years",31.98
"16484","male","25-34 years",17.63
"16485","male","35-54 years",15.39
"16486","male","15-24 years",14.96
"16487","male","55-74 years",13.46
"16488","female","25-34 years",8.82
"16489","female","35-54 years",4.35
"16490","female","55-74 years",3.2
"16491","female","15-24 years",2.04
"16492","female","5-14 years",0
"16493","female","75+ years",0
"16494","male","5-14 years",0
"16865","male","75+ years",13.9
"16866","male","25-34 years",9.65
"16867","male","15-24 years",9.6
"16868","male","35-54 years",9.08
"16869","male","55-74 years",9.02
"16870","female","15-24 years",3.23
"16871","female","25-34 years",1.83
"16872","female","35-54 years",1.66
"16873","female","55-74 years",1.08
"16874","male","5-14 years",0.91
"16875","female","5-14 years",0.63
"16876","female","75+ years",0.42
"17367","male","35-54 years",20.01
"17368","male","55-74 years",18.71
"17369","male","75+ years",18.61
"17370","male","25-34 years",11.44
"17371","male","15-24 years",9.38
"17372","female","35-54 years",8.49
"17373","female","55-74 years",7.9
"17374","female","75+ years",6.44
"17375","female","25-34 years",5.32
"17376","female","15-24 years",2.6
"17377","male","5-14 years",0.49
"17378","female","5-14 years",0.1
"17749","male","35-54 years",26.23
"17750","male","25-34 years",23.86
"17751","male","15-24 years",23.56
"17752","male","75+ years",18.59
"17753","male","55-74 years",17.27
"17754","female","15-24 years",11.27
"17755","female","25-34 years",10.52
"17756","female","35-54 years",8.02
"17757","female","75+ years",6.07
"17758","female","55-74 years",5.16
"17759","female","5-14 years",1.06
"17760","male","5-14 years",1.01
"17797","male","75+ years",17.5
"17798","male","25-34 years",17.16
"17799","male","35-54 years",13.91
"17800","male","15-24 years",13.5
"17801","male","55-74 years",11.51
"17802","female","15-24 years",5.55
"17803","female","25-34 years",3.01
"17804","female","35-54 years",3
"17805","female","55-74 years",1.67
"17806","female","5-14 years",1.15
"17807","male","5-14 years",0.78
"17808","female","75+ years",0
"18157","male","75+ years",22.71
"18158","male","55-74 years",20.56
"18159","male","25-34 years",19.37
"18160","male","35-54 years",18.62
"18161","male","15-24 years",18.13
"18162","female","35-54 years",10.08
"18163","female","55-74 years",10.05
"18164","female","25-34 years",7.76
"18165","female","75+ years",4.63
"18166","female","15-24 years",4.2
"18167","male","5-14 years",0.32
"18168","female","5-14 years",0
"18241","male","35-54 years",1.3
"18242","male","15-24 years",1.07
"18243","male","55-74 years",1.02
"18244","male","25-34 years",0.41
"18245","female","15-24 years",0
"18246","female","25-34 years",0
"18247","female","35-54 years",0
"18248","female","5-14 years",0
"18249","female","55-74 years",0
"18250","female","75+ years",0
"18251","male","5-14 years",0
"18252","male","75+ years",0
"18493","male","75+ years",15.3
"18494","male","25-34 years",14.05
"18495","male","35-54 years",9.75
"18496","male","55-74 years",8.97
"18497","male","15-24 years",6.86
"18498","female","75+ years",3.72
"18499","female","15-24 years",3.54
"18500","female","35-54 years",1.81
"18501","female","25-34 years",0
"18502","female","5-14 years",0
"18503","female","55-74 years",0
"18504","male","5-14 years",0
"18829","male","75+ years",10.9
"18830","male","15-24 years",8.24
"18831","male","25-34 years",7.16
"18832","male","55-74 years",6.89
"18833","male","35-54 years",6.86
"18834","female","15-24 years",4.74
"18835","female","75+ years",2.88
"18836","female","35-54 years",2.2
"18837","female","55-74 years",2.09
"18838","female","25-34 years",1.86
"18839","female","5-14 years",0.45
"18840","male","5-14 years",0.29
"19045","male","75+ years",9.06
"19046","male","25-34 years",5.51
"19047","male","15-24 years",5.41
"19048","male","55-74 years",4.81
"19049","male","35-54 years",4.6
"19050","female","15-24 years",2.42
"19051","female","25-34 years",1.43
"19052","female","75+ years",1.34
"19053","female","35-54 years",1.07
"19054","female","55-74 years",0.81
"19055","male","5-14 years",0.33
"19056","female","5-14 years",0.17
"19285","male","55-74 years",45.69
"19286","male","35-54 years",43.57
"19287","male","75+ years",31.56
"19288","male","25-34 years",25.57
"19289","male","15-24 years",20.21
"19290","female","55-74 years",7.3
"19291","female","35-54 years",5.76
"19292","female","75+ years",5.74
"19293","female","25-34 years",2.52
"19294","female","15-24 years",1.89
"19295","male","5-14 years",0.51
"19296","female","5-14 years",0.32
"19621","male","75+ years",66.12
"19622","male","55-74 years",24.16
"19623","male","35-54 years",17.14
"19624","female","75+ years",11.1
"19625","male","25-34 years",7.98
"19626","female","55-74 years",7.13
"19627","male","15-24 years",4.59
"19628","female","35-54 years",4.53
"19629","female","25-34 years",3.62
"19630","female","15-24 years",2.1
"19631","female","5-14 years",0.19
"19632","male","5-14 years",0.18
"19981","male","75+ years",28
"19982","male","35-54 years",22
"19983","male","55-74 years",20.34
"19984","male","25-34 years",14.85
"19985","male","15-24 years",6.18
"19986","female","55-74 years",4.15
"19987","female","35-54 years",3.89
"19988","female","75+ years",1.55
"19989","female","25-34 years",1.48
"19990","female","15-24 years",1.4
"19991","female","5-14 years",0
"19992","male","5-14 years",0
"20149","male","25-34 years",4.29
"20150","male","15-24 years",4.22
"20151","male","35-54 years",3.44
"20152","female","25-34 years",0.88
"20153","female","15-24 years",0
"20154","female","35-54 years",0
"20155","female","5-14 years",0
"20156","female","55-74 years",0
"20157","female","75+ years",0
"20158","male","5-14 years",0
"20159","male","55-74 years",0
"20160","male","75+ years",0
"20531","male","75+ years",182.32
"20532","male","55-74 years",82.73
"20533","female","75+ years",71.69
"20534","male","35-54 years",46.65
"20535","male","25-34 years",33.05
"20536","female","55-74 years",27.12
"20537","female","25-34 years",25.88
"20538","female","35-54 years",20.75
"20539","male","15-24 years",14.05
"20540","female","15-24 years",11.86
"20541","female","5-14 years",1.22
"20542","male","5-14 years",0.88
"20855","male","55-74 years",35.59
"20856","male","35-54 years",32.75
"20857","male","75+ years",29.43
"20858","male","25-34 years",15.16
"20859","male","15-24 years",11.84
"20860","female","55-74 years",7.3
"20861","female","75+ years",6.85
"20862","female","35-54 years",4.82
"20863","female","15-24 years",2.65
"20864","female","25-34 years",2.18
"20865","male","5-14 years",0.99
"20866","female","5-14 years",0.48
"21189","male","75+ years",74.43
"21190","male","25-34 years",57.1
"21191","male","35-54 years",52.08
"21192","male","55-74 years",46.34
"21193","male","15-24 years",37.3
"21194","female","75+ years",18.23
"21195","female","55-74 years",8
"21196","female","25-34 years",7.78
"21197","female","35-54 years",7.67
"21198","female","15-24 years",7.45
"21199","male","5-14 years",1.87
"21200","female","5-14 years",0.96
"21573","male","55-74 years",19.52
"21574","female","15-24 years",6.38
"21575","male","35-54 years",4.41
"21576","female","25-34 years",0
"21577","female","35-54 years",0
"21578","female","5-14 years",0
"21579","female","55-74 years",0
"21580","female","75+ years",0
"21581","male","15-24 years",0
"21582","male","25-34 years",0
"21583","male","5-14 years",0
"21584","male","75+ years",0
"21861","male","25-34 years",44.79
"21862","male","5-14 years",10.04
"21863","female","15-24 years",0
"21864","female","25-34 years",0
"21865","female","35-54 years",0
"21866","female","5-14 years",0
"21867","female","55-74 years",0
"21868","female","75+ years",0
"21869","male","15-24 years",0
"21870","male","35-54 years",0
"21871","male","55-74 years",0
"21872","male","75+ years",0
"22113","male","75+ years",93.52
"22114","male","55-74 years",42.51
"22115","female","75+ years",26.59
"22116","male","35-54 years",25.65
"22117","male","25-34 years",14.79
"22118","female","55-74 years",13.77
"22119","male","15-24 years",6.36
"22120","female","35-54 years",6.35
"22121","female","25-34 years",3.56
"22122","female","15-24 years",1.38
"22123","female","5-14 years",0
"22124","male","5-14 years",0
"22329","male","35-54 years",28.43
"22330","male","25-34 years",23.56
"22331","female","15-24 years",0
"22332","female","25-34 years",0
"22333","female","35-54 years",0
"22334","female","5-14 years",0
"22335","female","55-74 years",0
"22336","female","75+ years",0
"22337","male","15-24 years",0
"22338","male","5-14 years",0
"22339","male","55-74 years",0
"22340","male","75+ years",0
"22701","male","75+ years",50.66
"22702","male","55-74 years",15.2
"22703","male","35-54 years",15.04
"22704","female","75+ years",14.83
"22705","female","55-74 years",8.51
"22706","male","25-34 years",7.29
"22707","female","35-54 years",5.39
"22708","female","15-24 years",5.14
"22709","female","25-34 years",4.04
"22710","male","15-24 years",2.71
"22711","male","5-14 years",0.42
"22712","female","5-14 years",0
"22989","male","75+ years",35.05
"22990","male","35-54 years",30.67
"22991","male","55-74 years",30.66
"22992","male","25-34 years",16.09
"22993","male","15-24 years",10.63
"22994","female","75+ years",5.71
"22995","female","35-54 years",5.02
"22996","female","55-74 years",4.44
"22997","female","15-24 years",1.85
"22998","female","25-34 years",1.77
"22999","male","5-14 years",1.42
"23000","female","5-14 years",0.37
"23217","male","75+ years",96.29
"23218","male","55-74 years",49.14
"23219","male","35-54 years",38.39
"23220","male","15-24 years",20.64
"23221","male","25-34 years",19.88
"23222","female","55-74 years",14.94
"23223","female","75+ years",11.49
"23224","female","35-54 years",8.39
"23225","female","25-34 years",3.44
"23226","male","5-14 years",2.1
"23227","female","15-24 years",0.89
"23228","female","5-14 years",0
"23457","male","75+ years",3.6
"23458","male","25-34 years",2.31
"23459","male","55-74 years",1.69
"23460","male","35-54 years",1.59
"23461","male","15-24 years",1.08
"23462","female","75+ years",0.77
"23463","female","15-24 years",0.63
"23464","female","35-54 years",0.48
"23465","female","25-34 years",0.45
"23466","female","55-74 years",0.3
"23467","male","5-14 years",0.15
"23468","female","5-14 years",0.04
"23829","male","75+ years",31.4
"23830","male","55-74 years",15.06
"23831","male","35-54 years",13.53
"23832","male","25-34 years",7.28
"23833","female","75+ years",4.92
"23834","female","55-74 years",4.45
"23835","male","15-24 years",4.03
"23836","female","35-54 years",4
"23837","female","25-34 years",1.66
"23838","female","15-24 years",0.98
"23839","male","5-14 years",0.13
"23840","female","5-14 years",0
"24309","male","75+ years",100.12
"24310","female","75+ years",59.19
"24311","male","35-54 years",58.44
"24312","male","25-34 years",48.26
"24313","male","55-74 years",39.18
"24314","male","15-24 years",37.41
